Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = 0.0125x + 10,0.0125,10,1,400,15.0,515.473364,2.244118
y = 0.0125x + 10,0.0125,10,1,400,15.0,547.752335,2.229491
y = 0.0125x + 10,0.0125,10,1,400,15.0,582.052617,2.216205
y = 0.0125x + 10,0.0125,10,1,400,15.0,618.500784,2.200177
y = 0.0125x + 10,0.0125,10,1,400,15.0,657.231338,2.184766
y = 0.0125x + 10,0.0125,10,1,400,15.0,698.387201,2.1683
y = 0.0125x + 10,0.0125,10,1,400,15.0,742.120246,2.152225
y = 0.0125x + 10,0.0125,10,1,400,15.0,788.591858,2.133627
y = 0.0125x + 10,0.0125,10,1,400,15.0,837.973524,2.115219
y = 0.0125x + 10,0.0125,10,1,400,15.0,890.447473,2.096356
y = 0.0125x + 10,0.0125,10,1,400,15.0,946.207343,2.076448
y = 0.0125x + 10,0.0125,10,1,400,15.0,1005.4589,2.055916
y = 0.0125x + 10,0.0125,10,1,400,15.0,1068.420792,2.033924
y = 0.0125x + 10,0.0125,10,1,400,15.0,1135.325362,2.012137
y = 0.0125x + 10,0.0125,10,1,400,15.0,1206.419499,1.988814
y = 0.0125x + 10,0.0125,10,1,400,15.0,1281.965555,1.965306
y = 0.0125x + 10,0.0125,10,1,400,15.0,1362.24231,1.940666
y = 0.0125x + 10,0.0125,10,1,400,15.0,1447.546,1.914676
y = 0.0125x + 10,0.0125,10,1,400,15.0,1538.191411,1.888418
y = 0.0125x + 10,0.0125,10,1,400,15.0,1634.513043,1.861836
y = 0.0125x + 10,0.0125,10,1,400,15.0,1736.866341,1.833684
y = 0.0125x + 10,0.0125,10,1,400,15.0,1845.629008,1.805298
y = 0.0125x + 10,0.0125,10,1,400,15.0,1961.202399,1.776127
y = 0.0125x + 10,0.0125,10,1,400,15.0,2084.013003,1.746194
y = 0.0125x + 10,0.0125,10,1,400,15.0,2214.514014,1.715447
y = 0.0125x + 10,0.0125,10,1,400,15.0,2353.187005,1.684195
y = 0.0125x + 10,0.0125,10,1,400,15.0,2500.543706,1.652081
y = 0.0125x + 10,0.0125,10,1,400,15.0,2657.127893,1.619343
y = 0.0125x + 10,0.0125,10,1,400,15.0,2823.517389,1.586586
y = 0.0125x + 10,0.0125,10,1,400,15.0,3000.326206,1.552912
y = 0.0125x + 10,0.0125,10,1,400,15.0,3188.2068,1.518752
y = 0.0125x + 10,0.0125,10,1,400,15.0,3387.852488,1.484377
y = 0.0472x + 10,0.0472,10,2,80,13.7778,100.0,2.60012
y = 0.0472x + 10,0.0472,10,2,80,13.7778,106.262006,2.599442
y = 0.0472x + 10,0.0472,10,2,80,13.7778,112.916138,2.598028
y = 0.0472x + 10,0.0472,10,2,80,13.7778,119.986953,2.587874
y = 0.0472x + 10,0.0472,10,2,80,13.7778,127.500543,2.583688
y = 0.0472x + 10,0.0472,10,2,80,13.7778,135.484634,2.582625
y = 0.0472x + 10,0.0472,10,2,80,13.7778,143.968689,2.578887
y = 0.0472x + 10,0.0472,10,2,80,13.7778,152.984017,2.573008
y = 0.0472x + 10,0.0472,10,2,80,13.7778,162.563884,2.566808
y = 0.0472x + 10,0.0472,10,2,80,13.7778,172.743644,2.560923
y = 0.0472x + 10,0.0472,10,2,80,13.7778,183.56086,2.554971
y = 0.0472x + 10,0.0472,10,2,80,13.7778,195.055452,2.547541
y = 0.0472x + 10,0.0472,10,2,80,13.7778,207.269835,2.537831
y = 0.0472x + 10,0.0472,10,2,80,13.7778,220.249084,2.530571
y = 0.0472x + 10,0.0472,10,2,80,13.7778,234.041094,2.525727
y = 0.0472x + 10,0.0472,10,2,80,13.7778,248.69676,2.514059
y = 0.0472x + 10,0.0472,10,2,80,13.7778,264.270165,2.508697
y = 0.0472x + 10,0.0472,10,2,80,13.7778,280.818777,2.497778
y = 0.0472x + 10,0.0472,10,2,80,13.7778,298.403665,2.487211
y = 0.0472x + 10,0.0472,10,2,80,13.7778,317.089719,2.477888
y = 0.0472x + 10,0.0472,10,2,80,13.7778,336.945895,2.46751
y = 0.0472x + 10,0.0472,10,2,80,13.7778,358.045466,2.455953
y = 0.0472x + 10,0.0472,10,2,80,13.7778,380.466293,2.445006
y = 0.0472x + 10,0.0472,10,2,80,13.7778,404.291113,2.434279
y = 0.0472x + 10,0.0472,10,2,80,13.7778,429.607845,2.419713
y = 0.0472x + 10,0.0472,10,2,80,13.7778,456.509913,2.406901
y = 0.0472x + 10,0.0472,10,2,80,13.7778,485.096589,2.393632
